City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Pangai,TO,75.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
7,Pringsewu,ID,86.14,broken clouds,-5.36,104.97,Urban Style by Front One
14,Belogorsk,RU,85.32,clear sky,50.92,128.46,Hotel Malina
15,Beidao,CN,79.95,overcast clouds,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
23,Salalah,OM,80.6,drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
26,Labuhan,ID,83.16,broken clouds,-6.88,112.21,bador sepret
27,Hirara,JP,91.4,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
35,Albany,US,77.0,broken clouds,42.6,-73.97,
37,Kavaratti,IN,83.23,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
42,Balkanabat,TM,84.36,broken clouds,39.51,54.37,Nebitchi Hotel
46,Narasannapeta,IN,83.59,overcast clouds,18.42,84.05,G.lingaraju home
52,Bowen,AU,77.0,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
58,Pantai Remis,MY,75.2,light rain,4.46,100.63,Leisure Homestay
59,Port Hedland,AU,78.8,few clouds,-20.32,118.57,The Esplanade Hotel
64,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
74,Zalantun,CN,87.26,few clouds,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
79,Miles City,US,84.2,clear sky,46.41,-105.84,FairBridge Inn & Suites Miles City
81,Hithadhoo,MV,84.56,scattered clouds,-0.6,73.08,Scoop Guest House
83,Nishihara,JP,89.6,scattered clouds,26.18,127.76,Minshuku Agaihama
88,Tual,ID,79.07,broken clouds,-5.67,132.75,Grand Vilia Hotel
90,Katsuura,JP,75.99,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
92,Doha,QA,96.01,scattered clouds,25.29,51.53,Movenpick Hotel Doha
93,Thinadhoo,MV,84.78,broken clouds,0.53,72.93,
103,Mahibadhoo,MV,83.37,scattered clouds,3.78,72.97,Omadhoo Inn
104,Mawlaik,MM,79.65,overcast clouds,23.63,94.42,AKZ Guest House
105,Atuona,PF,79.23,clear sky,-9.8,-139.03,Villa Enata
110,Solnechnyy,RU,77.77,broken clouds,50.72,136.63,Hotel complex Pastoral
112,Cockburn Town,TC,83.23,clear sky,21.46,-71.14,Osprey Beach Hotel
114,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
115,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
117,Kirensk,RU,79.68,broken clouds,57.79,108.11,Гостиница/кв (дом Косыгина А.Н.)
119,Nam Som,TH,86.0,broken clouds,17.77,102.19,โรงแรมวุฒิโชค น้ำโสม
122,Kudahuvadhoo,MV,83.64,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
126,Amalapuram,IN,80.6,broken clouds,16.58,82.02,swayamprabha service apartments
135,Bosaso,SO,89.8,broken clouds,11.28,49.18,Red Sea Hotel
142,Tessalit,ML,89.26,clear sky,20.2,1.01,
147,Cabo San Lucas,MX,89.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
153,Havelock,US,82.99,scattered clouds,34.88,-76.9,Sherwood Motel
154,Fort Abbas,PK,93.36,clear sky,29.19,72.85,AsAd's House
160,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
163,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
169,Luancheng,CN,77.0,mist,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
175,Chichawatni,PK,96.53,clear sky,30.53,72.7,Ever Green Guest House
183,Mareeba,AU,81.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
184,Meulaboh,ID,82.78,overcast clouds,4.14,96.13,Kost Pria
189,Arlit,NE,92.12,clear sky,18.74,7.39,Hôtel Telwa Bungalow
193,South Lake Tahoe,US,82.99,clear sky,38.93,-119.98,Tahoe Lakeshore Lodge & Spa
198,Taoudenni,ML,94.37,clear sky,22.68,-3.98,
204,El Tigre,VE,76.71,clear sky,8.89,-64.25,Hotel Santa Cruz
206,Bethel,US,77.0,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
209,Boa Vista,BR,77.0,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
210,Karratha,AU,75.36,clear sky,-20.74,116.85,ibis Styles Karratha
211,Metro,ID,84.02,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
214,Sharjah,AE,98.6,few clouds,25.36,55.4,Swiss Belhotel Sharjah
216,Harper,LR,75.18,overcast clouds,4.38,-7.72,Screensaver
217,Armeria,MX,80.6,broken clouds,18.93,-103.97,Hotel la Herradura
223,Susanville,US,86.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
228,Aripuana,BR,75.87,broken clouds,-9.17,-60.63,
234,Dingle,PH,87.78,overcast clouds,11.0,122.67,Camp Pasica
240,San Andres,CO,82.4,few clouds,12.58,-81.7,Hotel Arena Blanca
245,Tambilil,PH,87.8,few clouds,5.96,124.67,Wilfredo Sotto Home
256,Biltine,TD,85.39,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
259,Ust-Ilimsk,RU,75.79,clear sky,58.0,102.66,Alenat Tsentr
260,Fallon,US,96.8,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
263,Tirat Karmel,IL,79.0,clear sky,32.76,34.97,Marom Hotel Haifa מלון מרום
269,Jacqueville,CI,75.2,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
271,Makakilo City,US,86.0,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
278,Felipe Carrillo Puerto,MX,75.34,clear sky,19.58,-88.05,Hotel La Ceiba
