City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Weather,Rain(Inches),Snow(Inches),Wind Speed
0,New Norfolk,AU,2020-07-13 02:53:46,-42.78,147.06,52.0,82,0,clear sky,0.0,0,1.01
1,Arrecife,ES,2020-07-13 02:52:51,28.96,-13.55,69.8,83,1,clear sky,0.0,0,17.22
2,Pangai,TO,2020-07-13 02:53:46,-19.8,-174.35,75.2,78,75,broken clouds,0.0,0,18.34
3,Hobart,AU,2020-07-13 02:50:33,-42.88,147.33,52.0,66,75,broken clouds,0.0,0,5.82
4,Nikolskoye,RU,2020-07-13 02:53:46,59.7,30.79,57.0,87,1,fog,0.0,0,1.68
5,Bambous Virieux,MU,2020-07-13 02:53:46,-20.34,57.76,71.6,78,75,shower rain,0.0,0,18.34
6,Vaini,TO,2020-07-13 02:53:47,-21.2,-175.2,73.4,73,75,broken clouds,0.0,0,12.75
7,Pringsewu,ID,2020-07-13 02:53:47,-5.36,104.97,86.14,58,76,broken clouds,0.0,0,2.33
8,Cape Town,ZA,2020-07-13 02:53:31,-33.93,18.42,59.0,54,75,broken clouds,0.0,0,28.86
9,Maun,BW,2020-07-13 02:53:47,-19.98,23.42,46.4,33,0,clear sky,0.0,0,6.93
10,Khatanga,RU,2020-07-13 02:53:47,71.97,102.5,61.66,56,82,broken clouds,0.0,0,16.02
11,Rikitea,PF,2020-07-13 02:53:47,-23.12,-134.97,70.77,77,50,scattered clouds,0.0,0,12.86
12,Grindavik,IS,2020-07-13 02:53:47,63.84,-22.43,48.2,87,90,overcast clouds,0.0,0,5.82
13,Asau,RO,2020-07-13 02:53:47,46.43,26.4,55.4,76,85,overcast clouds,0.0,0,18.34
14,Belogorsk,RU,2020-07-13 02:53:47,50.92,128.46,85.32,54,1,clear sky,0.0,0,6.2
15,Beidao,CN,2020-07-13 02:53:47,34.57,105.89,79.95,49,100,overcast clouds,0.0,0,3.33
16,Arraial Do Cabo,BR,2020-07-13 02:53:47,-22.97,-42.03,71.91,79,64,broken clouds,0.0,0,11.65
17,Klaksvik,FO,2020-07-13 02:53:47,62.23,-6.59,50.0,100,100,light rain,0.0,0,21.92
18,Chokurdakh,RU,2020-07-13 02:53:47,70.63,147.92,74.71,39,26,scattered clouds,0.0,0,8.66
19,Kapaa,US,2020-07-13 02:53:48,22.08,-159.32,79.0,74,75,light rain,0.51,0,16.11
20,Caravelas,BR,2020-07-13 02:53:48,-17.71,-39.25,69.19,90,84,broken clouds,0.0,0,1.7
21,San Luis,AR,2020-07-13 02:53:48,-33.3,-66.34,45.12,60,100,overcast clouds,0.0,0,4.97
22,Vao,NC,2020-07-13 02:53:48,-22.67,167.48,72.32,78,98,overcast clouds,0.0,0,17.81
23,Salalah,OM,2020-07-13 02:53:48,17.02,54.09,80.6,100,90,drizzle,0.0,0,4.7
24,Touros,BR,2020-07-13 02:53:04,-5.2,-35.46,71.6,94,75,broken clouds,0.0,0,4.7
25,Busselton,AU,2020-07-13 02:53:48,-33.65,115.33,66.0,63,91,light rain,0.27,0,14.34
26,Labuhan,ID,2020-07-13 02:53:48,-6.88,112.21,83.16,67,74,broken clouds,0.0,0,5.86
27,Hirara,JP,2020-07-13 02:53:48,24.8,125.28,91.4,63,75,broken clouds,0.0,0,8.05
28,Saskylakh,RU,2020-07-13 02:53:48,71.92,114.08,65.05,52,91,overcast clouds,0.0,0,13.33
29,Namibe,AO,2020-07-13 02:53:48,-15.2,12.15,61.56,79,0,clear sky,0.0,0,8.37
30,Eureka,US,2020-07-13 02:53:48,40.8,-124.16,63.0,90,10,clear sky,0.0,0,5.99
31,Talnakh,RU,2020-07-13 02:53:49,69.49,88.4,57.2,62,100,overcast clouds,0.0,0,6.71
32,Nanortalik,GL,2020-07-13 02:53:49,60.14,-45.24,45.01,87,100,light rain,0.38,0,4.27
33,Castro,BR,2020-07-13 02:53:49,-24.79,-50.01,59.38,86,28,scattered clouds,0.0,0,4.07
34,Bassano,CA,2020-07-13 02:53:49,50.78,-112.47,53.01,80,10,moderate rain,1.99,0,3.0
35,Albany,US,2020-07-13 02:50:10,42.6,-73.97,77.0,90,79,broken clouds,0.0,0,4.34
36,Canutama,BR,2020-07-13 02:53:49,-6.53,-64.38,72.82,93,99,overcast clouds,0.0,0,1.74
37,Kavaratti,IN,2020-07-13 02:53:49,10.57,72.64,83.23,75,100,overcast clouds,0.0,0,11.12
